rep,nrNodes,nrEdges,edgeProb,nrPaths,nrFails,failureModel,failurePercent,hopsRanked,hopsUnranked,spLength,stretch_mult,nodeAdditions,hopsPath,stretch_path,hopsRankedOne,hopsUnrankedOne,stretch_one,overallNodeAdditionsOne,treeChoice
1000,149,193,graphml/GtsCe.graphml,2,,clustered,0.7;-0.3,-1,-1,-1,0,2,-1,0,-1,-1,0,2,edgeCount
953,149,193,graphml/GtsCe.graphml,2,,clustered,0.7;-0.3,36,12,12,24,6,-1,-13,26,22,14,6,edgeCount
952,149,193,graphml/GtsCe.graphml,2,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
951,149,193,graphml/GtsCe.graphml,2,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
950,149,193,graphml/GtsCe.graphml,2,,clustered,0.7;-0.3,-1,-1,-1,0,2,-1,0,-1,-1,0,2,edgeCount
949,149,193,graphml/GtsCe.graphml,2,,clustered,0.7;-0.3,-1,-1,-1,0,2,-1,0,-1,-1,0,2,edgeCount
948,149,193,graphml/GtsCe.graphml,3,,clustered,0.7;-0.3,7,5,4,3,0,15,11,5,5,1,0,edgeCount
947,149,193,graphml/GtsCe.graphml,2,,clustered,0.7;-0.3,23,7,7,16,2,-1,-8,7,7,0,2,edgeCount
946,149,193,graphml/GtsCe.graphml,2,,clustered,0.7;-0.3,-1,-1,-1,0,6,-1,0,-1,-1,0,6,edgeCount
945,149,193,graphml/GtsCe.graphml,3,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
944,149,193,graphml/GtsCe.graphml,2,,clustered,0.7;-0.3,19,19,9,10,0,19,10,19,19,10,0,edgeCount
943,149,193,graphml/GtsCe.graphml,1,,clustered,0.7;-0.3,10,10,10,0,0,10,0,10,10,0,0,edgeCount
942,149,193,graphml/GtsCe.graphml,2,,clustered,0.7;-0.3,-1,-1,17,-18,0,-1,-18,-1,-1,-18,0,edgeCount
941,149,193,graphml/GtsCe.graphml,2,,clustered,0.7;-0.3,4,4,4,0,0,4,0,4,4,0,0,edgeCount
940,149,193,graphml/GtsCe.graphml,2,,clustered,0.7;-0.3,-1,-1,-1,0,2,-1,0,-1,-1,0,2,edgeCount
939,149,193,graphml/GtsCe.graphml,2,,clustered,0.7;-0.3,12,16,10,2,2,20,10,20,34,10,2,edgeCount
938,149,193,graphml/GtsCe.graphml,2,,clustered,0.7;-0.3,11,11,6,5,0,11,5,11,11,5,0,edgeCount
937,149,193,graphml/GtsCe.graphml,2,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
936,149,193,graphml/GtsCe.graphml,1,,clustered,0.7;-0.3,-1,-1,10,-11,0,-1,-11,-1,-1,-11,0,edgeCount
935,149,193,graphml/GtsCe.graphml,2,,clustered,0.7;-0.3,-1,-1,-1,0,6,-1,0,-1,-1,0,6,edgeCount
934,149,193,graphml/GtsCe.graphml,2,,clustered,0.7;-0.3,-1,-1,11,-12,0,-1,-12,-1,-1,-12,0,edgeCount
933,149,193,graphml/GtsCe.graphml,2,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
932,149,193,graphml/GtsCe.graphml,2,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
931,149,193,graphml/GtsCe.graphml,2,,clustered,0.7;-0.3,-1,-1,16,-17,2,-1,-17,-1,-1,-17,2,edgeCount
930,149,193,graphml/GtsCe.graphml,2,,clustered,0.7;-0.3,34,10,10,24,2,-1,-11,10,10,0,2,edgeCount
929,149,193,graphml/GtsCe.graphml,3,,clustered,0.7;-0.3,-1,-1,14,-15,0,-1,-15,-1,-1,-15,0,edgeCount
928,149,193,graphml/GtsCe.graphml,2,,clustered,0.7;-0.3,9,21,8,1,0,21,13,21,21,13,0,edgeCount
927,149,193,graphml/GtsCe.graphml,2,,clustered,0.7;-0.3,30,30,13,17,0,28,15,28,28,15,0,edgeCount
926,149,193,graphml/GtsCe.graphml,2,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
925,149,193,graphml/GtsCe.graphml,2,,clustered,0.7;-0.3,6,6,6,0,6,6,0,6,6,0,6,edgeCount
924,149,193,graphml/GtsCe.graphml,2,,clustered,0.7;-0.3,10,10,9,1,0,10,1,10,10,1,0,edgeCount
923,149,193,graphml/GtsCe.graphml,2,,clustered,0.7;-0.3,14,58,8,6,0,28,20,28,28,20,0,edgeCount
922,149,193,graphml/GtsCe.graphml,2,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
921,149,193,graphml/GtsCe.graphml,2,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
920,149,193,graphml/GtsCe.graphml,1,,clustered,0.7;-0.3,15,9,9,6,2,-1,-10,15,9,6,2,edgeCount
919,149,193,graphml/GtsCe.graphml,2,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
918,149,193,graphml/GtsCe.graphml,2,,clustered,0.7;-0.3,42,42,14,28,0,42,28,42,42,28,0,edgeCount
917,149,193,graphml/GtsCe.graphml,2,,clustered,0.7;-0.3,22,6,6,16,2,6,0,6,6,0,2,edgeCount
916,149,193,graphml/GtsCe.graphml,2,,clustered,0.7;-0.3,-1,-1,-1,0,2,-1,0,-1,-1,0,2,edgeCount
915,149,193,graphml/GtsCe.graphml,2,,clustered,0.7;-0.3,-1,-1,-1,0,2,-1,0,-1,-1,0,2,edgeCount
914,149,193,graphml/GtsCe.graphml,2,,clustered,0.7;-0.3,11,11,11,0,0,11,0,11,11,0,0,edgeCount
913,149,193,graphml/GtsCe.graphml,2,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
912,149,193,graphml/GtsCe.graphml,2,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
911,149,193,graphml/GtsCe.graphml,2,,clustered,0.7;-0.3,-1,-1,19,-20,6,-1,-20,-1,-1,-20,6,edgeCount
910,149,193,graphml/GtsCe.graphml,2,,clustered,0.7;-0.3,-1,-1,-1,0,2,-1,0,-1,-1,0,2,edgeCount
909,149,193,graphml/GtsCe.graphml,1,,clustered,0.7;-0.3,-1,-1,9,-10,0,-1,-10,-1,-1,-10,0,edgeCount
908,149,193,graphml/GtsCe.graphml,2,,clustered,0.7;-0.3,-1,-1,22,-23,4,-1,-23,-1,-1,-23,4,edgeCount
907,149,193,graphml/GtsCe.graphml,2,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
906,149,193,graphml/GtsCe.graphml,2,,clustered,0.7;-0.3,-1,-1,10,-11,4,-1,-11,-1,-1,-11,4,edgeCount
905,149,193,graphml/GtsCe.graphml,2,,clustered,0.7;-0.3,26,10,9,17,0,-1,-10,-1,-1,-10,0,edgeCount
904,149,193,graphml/GtsCe.graphml,2,,clustered,0.7;-0.3,5,39,5,0,0,11,6,11,11,6,0,edgeCount
903,149,193,graphml/GtsCe.graphml,3,,clustered,0.7;-0.3,29,11,7,22,0,11,4,11,11,4,0,edgeCount
902,149,193,graphml/GtsCe.graphml,3,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
901,149,193,graphml/GtsCe.graphml,1,,clustered,0.7;-0.3,3,3,3,0,0,3,0,3,3,0,0,edgeCount
900,149,193,graphml/GtsCe.graphml,2,,clustered,0.7;-0.3,11,11,11,0,0,11,0,11,11,0,0,edgeCount
899,149,193,graphml/GtsCe.graphml,3,,clustered,0.7;-0.3,16,70,14,2,4,44,30,16,70,2,4,edgeCount
898,149,193,graphml/GtsCe.graphml,2,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
897,149,193,graphml/GtsCe.graphml,2,,clustered,0.7;-0.3,64,20,18,46,0,20,2,20,20,2,0,edgeCount
896,149,193,graphml/GtsCe.graphml,2,,clustered,0.7;-0.3,-1,-1,-1,0,2,-1,0,-1,-1,0,2,edgeCount
895,149,193,graphml/GtsCe.graphml,2,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
894,149,193,graphml/GtsCe.graphml,2,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
893,149,193,graphml/GtsCe.graphml,2,,clustered,0.7;-0.3,20,26,15,5,0,46,31,46,46,31,0,edgeCount
892,149,193,graphml/GtsCe.graphml,2,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
891,149,193,graphml/GtsCe.graphml,2,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
890,149,193,graphml/GtsCe.graphml,2,,clustered,0.7;-0.3,19,19,9,10,0,19,10,19,19,10,0,edgeCount
889,149,193,graphml/GtsCe.graphml,2,,clustered,0.7;-0.3,-1,-1,-1,0,2,-1,0,-1,-1,0,2,edgeCount
888,149,193,graphml/GtsCe.graphml,2,,clustered,0.7;-0.3,-1,-1,-1,0,4,-1,0,-1,-1,0,4,edgeCount
887,149,193,graphml/GtsCe.graphml,1,,clustered,0.7;-0.3,12,12,12,0,0,12,0,12,12,0,0,edgeCount
886,149,193,graphml/GtsCe.graphml,2,,clustered,0.7;-0.3,25,25,11,14,0,25,14,25,25,14,0,edgeCount
885,149,193,graphml/GtsCe.graphml,2,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
884,149,193,graphml/GtsCe.graphml,2,,clustered,0.7;-0.3,7,7,7,0,0,7,0,7,7,0,0,edgeCount
883,149,193,graphml/GtsCe.graphml,2,,clustered,0.7;-0.3,55,15,10,45,2,15,5,15,15,5,2,edgeCount
882,149,193,graphml/GtsCe.graphml,2,,clustered,0.7;-0.3,-1,-1,-1,0,2,-1,0,-1,-1,0,2,edgeCount
881,149,193,graphml/GtsCe.graphml,1,,clustered,0.7;-0.3,-1,-1,-1,0,4,-1,0,-1,-1,0,4,edgeCount
880,149,193,graphml/GtsCe.graphml,2,,clustered,0.7;-0.3,-1,-1,19,-20,4,-1,-20,-1,-1,-20,4,edgeCount
879,149,193,graphml/GtsCe.graphml,2,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
878,149,193,graphml/GtsCe.graphml,4,,clustered,0.7;-0.3,-1,-1,-1,0,4,-1,0,-1,-1,0,4,edgeCount
877,149,193,graphml/GtsCe.graphml,2,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
876,149,193,graphml/GtsCe.graphml,1,,clustered,0.7;-0.3,-1,-1,-1,0,2,-1,0,-1,-1,0,2,edgeCount
875,149,193,graphml/GtsCe.graphml,2,,clustered,0.7;-0.3,7,7,6,1,0,7,1,7,7,1,0,edgeCount
874,149,193,graphml/GtsCe.graphml,2,,clustered,0.7;-0.3,-1,-1,-1,0,2,-1,0,-1,-1,0,2,edgeCount
873,149,193,graphml/GtsCe.graphml,2,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
872,149,193,graphml/GtsCe.graphml,2,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
871,149,193,graphml/GtsCe.graphml,2,,clustered,0.7;-0.3,-1,-1,-1,0,8,-1,0,-1,-1,0,8,edgeCount
870,149,193,graphml/GtsCe.graphml,2,,clustered,0.7;-0.3,-1,-1,-1,0,2,-1,0,-1,-1,0,2,edgeCount
869,149,193,graphml/GtsCe.graphml,2,,clustered,0.7;-0.3,-1,-1,-1,0,2,-1,0,-1,-1,0,2,edgeCount
868,149,193,graphml/GtsCe.graphml,3,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
867,149,193,graphml/GtsCe.graphml,2,,clustered,0.7;-0.3,-1,-1,24,-25,6,-1,-25,-1,-1,-25,6,edgeCount
866,149,193,graphml/GtsCe.graphml,2,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
865,149,193,graphml/GtsCe.graphml,2,,clustered,0.7;-0.3,38,38,14,24,0,38,24,38,38,24,0,edgeCount
864,149,193,graphml/GtsCe.graphml,1,,clustered,0.7;-0.3,26,20,15,11,2,-1,-16,26,20,11,2,edgeCount
863,149,193,graphml/GtsCe.graphml,2,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
862,149,193,graphml/GtsCe.graphml,2,,clustered,0.7;-0.3,49,49,17,32,0,49,32,49,49,32,0,edgeCount
861,149,193,graphml/GtsCe.graphml,2,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
860,149,193,graphml/GtsCe.graphml,2,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
859,149,193,graphml/GtsCe.graphml,2,,clustered,0.7;-0.3,13,21,13,0,0,-1,-14,-1,-1,-14,0,edgeCount
858,149,193,graphml/GtsCe.graphml,2,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
857,149,193,graphml/GtsCe.graphml,2,,clustered,0.7;-0.3,57,57,18,39,0,57,39,57,57,39,0,edgeCount
856,149,193,graphml/GtsCe.graphml,1,,clustered,0.7;-0.3,-1,-1,11,-12,0,-1,-12,-1,-1,-12,0,edgeCount
855,149,193,graphml/GtsCe.graphml,2,,clustered,0.7;-0.3,-1,-1,-1,0,2,-1,0,-1,-1,0,2,edgeCount
854,149,193,graphml/GtsCe.graphml,1,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
853,149,193,graphml/GtsCe.graphml,1,,clustered,0.7;-0.3,4,4,4,0,0,4,0,4,4,0,0,edgeCount
852,149,193,graphml/GtsCe.graphml,2,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
851,149,193,graphml/GtsCe.graphml,2,,clustered,0.7;-0.3,-1,-1,23,-24,0,-1,-24,-1,-1,-24,0,edgeCount
850,149,193,graphml/GtsCe.graphml,2,,clustered,0.7;-0.3,-1,-1,-1,0,2,-1,0,-1,-1,0,2,edgeCount
849,149,193,graphml/GtsCe.graphml,1,,clustered,0.7;-0.3,-1,-1,-1,0,4,-1,0,-1,-1,0,4,edgeCount
848,149,193,graphml/GtsCe.graphml,3,,clustered,0.7;-0.3,80,24,10,70,0,-1,-11,-1,-1,-11,0,edgeCount
847,149,193,graphml/GtsCe.graphml,2,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
846,149,193,graphml/GtsCe.graphml,2,,clustered,0.7;-0.3,70,46,16,54,6,16,0,16,16,0,6,edgeCount
845,149,193,graphml/GtsCe.graphml,2,,clustered,0.7;-0.3,34,32,10,24,2,-1,-11,24,22,14,2,edgeCount
844,149,193,graphml/GtsCe.graphml,2,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
843,149,193,graphml/GtsCe.graphml,2,,clustered,0.7;-0.3,55,55,19,36,0,55,36,55,55,36,0,edgeCount
842,149,193,graphml/GtsCe.graphml,2,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
841,149,193,graphml/GtsCe.graphml,1,,clustered,0.7;-0.3,-1,-1,-1,0,2,-1,0,-1,-1,0,2,edgeCount
840,149,193,graphml/GtsCe.graphml,2,,clustered,0.7;-0.3,42,26,12,30,0,12,0,12,12,0,0,edgeCount
839,149,193,graphml/GtsCe.graphml,2,,clustered,0.7;-0.3,6,6,4,2,0,14,10,14,14,10,0,edgeCount
838,149,193,graphml/GtsCe.graphml,2,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
837,149,193,graphml/GtsCe.graphml,2,,clustered,0.7;-0.3,6,6,6,0,0,6,0,6,6,0,0,edgeCount
836,149,193,graphml/GtsCe.graphml,3,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
835,149,193,graphml/GtsCe.graphml,3,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
834,149,193,graphml/GtsCe.graphml,2,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
833,149,193,graphml/GtsCe.graphml,1,,clustered,0.7;-0.3,-1,-1,-1,0,2,-1,0,-1,-1,0,2,edgeCount
832,149,193,graphml/GtsCe.graphml,1,,clustered,0.7;-0.3,-1,-1,-1,0,2,-1,0,-1,-1,0,2,edgeCount
831,149,193,graphml/GtsCe.graphml,2,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
830,149,193,graphml/GtsCe.graphml,2,,clustered,0.7;-0.3,61,61,20,41,2,61,41,61,61,41,2,edgeCount
829,149,193,graphml/GtsCe.graphml,2,,clustered,0.7;-0.3,12,12,12,0,0,12,0,12,12,0,0,edgeCount
828,149,193,graphml/GtsCe.graphml,1,,clustered,0.7;-0.3,7,7,7,0,0,7,0,7,7,0,0,edgeCount
827,149,193,graphml/GtsCe.graphml,2,,clustered,0.7;-0.3,8,8,8,0,0,8,0,8,8,0,0,edgeCount
826,149,193,graphml/GtsCe.graphml,3,,clustered,0.7;-0.3,72,28,8,64,2,8,0,8,8,0,2,edgeCount
825,149,193,graphml/GtsCe.graphml,1,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
824,149,193,graphml/GtsCe.graphml,1,,clustered,0.7;-0.3,27,19,7,20,6,-1,-8,27,19,20,6,edgeCount
823,149,193,graphml/GtsCe.graphml,3,,clustered,0.7;-0.3,-1,-1,-1,0,4,-1,0,-1,-1,0,2,edgeCount
822,149,193,graphml/GtsCe.graphml,2,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
821,149,193,graphml/GtsCe.graphml,2,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
820,149,193,graphml/GtsCe.graphml,1,,clustered,0.7;-0.3,21,21,21,0,0,21,0,21,21,0,0,edgeCount
819,149,193,graphml/GtsCe.graphml,2,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
818,149,193,graphml/GtsCe.graphml,2,,clustered,0.7;-0.3,10,10,10,0,0,10,0,10,10,0,0,edgeCount
817,149,193,graphml/GtsCe.graphml,2,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
816,149,193,graphml/GtsCe.graphml,2,,clustered,0.7;-0.3,-1,-1,-1,0,2,-1,0,-1,-1,0,2,edgeCount
815,149,193,graphml/GtsCe.graphml,1,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
814,149,193,graphml/GtsCe.graphml,2,,clustered,0.7;-0.3,46,46,12,34,0,46,34,46,46,34,0,edgeCount
813,149,193,graphml/GtsCe.graphml,2,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
812,149,193,graphml/GtsCe.graphml,2,,clustered,0.7;-0.3,17,17,14,3,0,17,3,17,17,3,0,edgeCount
811,149,193,graphml/GtsCe.graphml,1,,clustered,0.7;-0.3,-1,-1,12,-13,0,-1,-13,-1,-1,-13,0,edgeCount
810,149,193,graphml/GtsCe.graphml,2,,clustered,0.7;-0.3,37,33,9,28,0,13,4,13,13,4,0,edgeCount
809,149,193,graphml/GtsCe.graphml,2,,clustered,0.7;-0.3,9,9,9,0,0,9,0,9,9,0,0,edgeCount
808,149,193,graphml/GtsCe.graphml,1,,clustered,0.7;-0.3,-1,-1,13,-14,2,-1,-14,-1,-1,-14,2,edgeCount
807,149,193,graphml/GtsCe.graphml,2,,clustered,0.7;-0.3,62,62,18,44,0,62,44,62,62,44,0,edgeCount
806,149,193,graphml/GtsCe.graphml,2,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
805,149,193,graphml/GtsCe.graphml,2,,clustered,0.7;-0.3,43,43,16,27,0,43,27,43,43,27,0,edgeCount
804,149,193,graphml/GtsCe.graphml,2,,clustered,0.7;-0.3,-1,-1,-1,0,2,-1,0,-1,-1,0,2,edgeCount
803,149,193,graphml/GtsCe.graphml,2,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
802,149,193,graphml/GtsCe.graphml,2,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
